species,gait,target_speed_ms,stiffness_Nm_rad,stiffness_normalised,sum_tau_norm_sq,peak_tau_norm,p95_tau_norm,pct_stride_above_80,pct_stride_above_90,positive_joint_work_J,solver_success,notes
cheetah,rotary,10,3951.73,86.8511,92.0962,0.999978,0.931477,39.1522,37.0193,934.503,1,
cheetah,rotary,10,4550,100,93.0203,1,0.950734,40.8413,38.282,934.303,1,
cheetah,rotary,12,4.55,0.1,118.834,0.999997,0.943484,28.4528,27.0221,1433.29,1,
cheetah,rotary,12,5.2388,0.115138,118.176,0.999993,0.940333,28.481,27.05,1435.28,1,
cheetah,rotary,12,6.032,0.132571,123.379,0.99999,0.939122,30.8871,26.9429,1451.22,1,
cheetah,rotary,12,6.9452,0.152642,123.074,0.99996,0.938471,30.8821,26.9387,1453.71,1,
cheetah,rotary,12,7.9967,0.175752,123.759,0.999997,0.947403,30.8904,27.6636,1455.25,1,
cheetah,rotary,12,9.2073,0.202358,123.855,0.999999,0.949226,30.8842,27.6579,1457.47,1,
cheetah,rotary,12,10.6013,0.232996,122.023,0.999202,0.927125,30.9052,26.2306,1465.14,1,
cheetah,rotary,12,12.2063,0.26827,123.671,0.999986,0.942918,30.8677,26.9205,1463.68,1,
cheetah,rotary,12,14.0542,0.308884,124.297,0.999991,0.95166,30.8546,27.6243,1466.04,1,
cheetah,rotary,12,16.182,0.355648,127.558,0.999967,0.974852,32.9609,29.0095,1470.54,1,
cheetah,rotary,12,18.6319,0.409492,126.051,0.996538,0.971825,32.3078,27.6091,1472.23,1,
cheetah,rotary,12,21.4526,0.471486,131.963,0.99998,0.993053,33.2667,31.829,1479.7,1,
cheetah,rotary,12,24.7005,0.542868,131.148,0.999997,0.986655,33.3225,31.159,1480.43,1,
cheetah,rotary,12,28.44,0.625055,130.781,0.999882,0.983134,33.3319,31.1689,1482.63,1,
cheetah,rotary,12,32.7457,0.719686,128.102,1,0.955513,33.3452,29.0252,1487.63,1,
cheetah,rotary,12,37.7032,0.828642,126.632,0.999994,0.947323,33.37,29.0496,1490.01,1,
cheetah,rotary,12,43.4113,0.954095,124.495,0.995014,0.931027,31.9806,28.3588,1490.34,1,
cheetah,rotary,12,49.9836,1.09854,123.569,0.996658,0.927352,31.9788,28.3546,1493.23,1,
cheetah,rotary,12,57.5509,1.26485,125.958,0.99958,0.959871,31.8826,26.821,1501.59,1,
cheetah,rotary,12,66.2639,1.45635,115.926,0.998845,0.886931,26.2739,23.7241,1505.9,1,
cheetah,rotary,12,76.2959,1.67683,119.399,0.999998,0.899764,27.591,24.6955,1507.54,1,
cheetah,rotary,12,87.8467,1.9307,116.251,0.999997,0.883745,26.2365,24.0641,1507.43,1,
cheetah,rotary,12,101.146,2.223,117.717,0.999992,0.892389,26.1489,23.9732,1516.5,1,
cheetah,rotary,12,116.459,2.55955,115.774,0.999999,0.885153,26.2137,24.0368,1519.94,1,
cheetah,rotary,12,134.091,2.94705,110.274,0.987482,0.880911,25.6617,24.173,1518.01,1,
cheetah,rotary,12,154.392,3.39322,110.924,0.988075,0.884736,25.619,24.1583,1520.97,1,
cheetah,rotary,12,177.766,3.90694,111.52,0.999998,0.882236,25.6101,24.1519,1520.15,1,
cheetah,rotary,12,204.679,4.49843,111.888,0.99999,0.870155,26.2533,22.1453,1526.78,1,
cheetah,rotary,12,235.666,5.17947,112.79,0.999909,0.870229,26.2606,22.1523,1525.35,1,
cheetah,rotary,12,271.345,5.96362,109.465,0.999847,0.882273,24.8758,22.2754,1525.05,1,
cheetah,rotary,12,312.425,6.86649,109.065,0.999823,0.857657,24.8909,22.2962,1522.82,1,
cheetah,rotary,12,359.725,7.90604,89.0606,0.999939,0.731885,22.716,18.5472,1494.17,1,
cheetah,rotary,12,414.186,9.10298,104.518,0.999989,0.803302,24.3104,22.5081,1520.89,1,
cheetah,rotary,12,476.892,10.4811,103.502,0.999994,0.774262,22.6365,19.0741,1526.2,1,
cheetah,rotary,12,549.091,12.0679,99.3864,0.995964,0.742085,22.8148,19.289,1529.02,1,
cheetah,rotary,12,632.22,13.895,95.4283,0.999998,0.697118,23.025,19.5638,1521.61,1,
cheetah,rotary,12,727.936,15.9986,95.9585,0.999981,0.698267,23.1014,19.7194,1495.02,1,
cheetah,rotary,12,838.142,18.4207,93.7432,0.99999,0.706734,23.1693,23.1693,1439.38,1,
cheetah,rotary,12,965.033,21.2095,97.0994,0.9999,0.767386,27.0403,23.2392,1380.94,1,
cheetah,rotary,12,1111.13,24.4205,96.9795,0.999992,0.793221,34.1639,26.4203,1340.77,1,
cheetah,rotary,12,1279.35,28.1177,96.5514,1,0.802712,38.1547,29.238,1317.61,1,
cheetah,rotary,12,1473.04,32.3746,96.2107,0.999998,0.808576,38.552,33.15,1301.86,1,
cheetah,rotary,12,1696.06,37.2759,98.099,0.999985,0.820066,40.533,35.0816,1293.22,1,
cheetah,rotary,12,1952.83,42.9193,98.6391,0.999943,0.836406,41.213,35.273,1287.73,1,
cheetah,rotary,12,2248.48,49.4171,98.8437,0.99999,0.840792,41.6026,36.4033,1286.73,1,
cheetah,rotary,12,2588.89,56.8987,101.411,1,0.854848,38.3169,33.8626,1290.54,1,
cheetah,rotary,12,2980.83,65.5129,101.233,0.999999,0.853694,39.298,33.0655,1294.45,1,
cheetah,rotary,12,3432.12,75.4312,101.324,0.999967,0.855261,39.3813,32.6799,1297.77,1,
cheetah,rotary,12,3951.73,86.8511,103.278,0.999999,0.856317,34.4097,33.5566,1300.38,1,
cheetah,rotary,12,4550,100,103.984,0.999999,0.858036,34.4362,33.5832,1301.81,1,
cheetah,rotary,15,4.55,0.1,166.953,0.999975,0.992633,54.8612,34.8066,1950.95,1,
cheetah,rotary,15,5.2388,0.115138,169.958,1,0.999953,55.6413,35.5492,1948.48,1,
cheetah,rotary,15,6.032,0.132571,171.271,1,0.99986,55.5121,35.9307,1948.25,1,
cheetah,rotary,15,6.9452,0.152642,172.934,0.999999,0.9999,55.4724,41.1824,1951.29,1,
cheetah,rotary,15,7.9967,0.175752,173.66,1,0.999999,56.0193,41.1573,1955.49,1,
cheetah,rotary,15,9.2073,0.202358,172.64,0.999998,0.998554,56.0072,41.1414,1957.98,1,
cheetah,rotary,15,10.6013,0.232996,175.126,1,0.999976,55.9977,41.407,1962.28,1,
cheetah,rotary,15,12.2063,0.26827,175.766,0.999996,0.998816,56.2616,41.3801,1966.23,1,
cheetah,rotary,15,14.0542,0.308884,172.503,0.999999,0.99616,56.2686,41.1079,1968.95,1,
cheetah,rotary,15,16.182,0.355648,175.613,0.999999,0.999671,51.7415,41.3983,1971.51,1,
cheetah,rotary,15,18.6319,0.409492,177.012,0.999999,0.999936,47.2289,41.4186,1975.48,1,
cheetah,rotary,15,21.4526,0.471486,176.463,1,0.999998,47.2605,41.4436,1977.26,1,
cheetah,rotary,15,24.7005,0.542868,170.32,0.999999,0.999415,45.9953,41.259,1979.14,1,
cheetah,rotary,15,28.44,0.625055,166.725,1,0.999967,45.7152,38.4354,1980.63,1,
cheetah,rotary,15,32.7457,0.719686,169.187,1,0.999957,46.0041,39.305,1983.61,1,
cheetah,rotary,15,37.7032,0.828642,173.461,0.999998,0.99979,46.5913,41.3114,1989.07,1,
cheetah,rotary,15,43.4113,0.954095,174.358,0.999997,0.999498,42.1982,36.9131,1993.04,1,
cheetah,rotary,15,49.9836,1.09854,174.811,0.999999,0.999955,42.7927,36.9354,1996.82,1,
cheetah,rotary,15,57.5509,1.26485,175.161,0.999999,0.99973,42.8292,32.5236,2003.45,1,
cheetah,rotary,15,66.2639,1.45635,173.106,0.999997,0.995338,42.8624,32.5541,2009.84,1,
cheetah,rotary,15,76.2959,1.67683,176.891,0.999999,0.999817,38.4622,32.591,2015.15,1,
cheetah,rotary,15,87.8467,1.9307,174.89,0.999999,0.995754,38.5036,32.6266,2016.5,1,
cheetah,rotary,15,101.146,2.223,173.651,0.999967,0.997459,38.5599,32.6756,2024.93,1,
cheetah,rotary,15,116.459,2.55955,172.409,1,0.999999,38.6001,32.422,2028.47,1,
cheetah,rotary,15,134.091,2.94705,171.347,0.999997,0.99967,38.6232,31.8698,2030.29,1,
cheetah,rotary,15,154.392,3.39322,170.005,0.999995,0.997562,38.6771,31.3511,2037.92,1,
cheetah,rotary,15,177.766,3.90694,167.425,0.999999,0.999939,38.2389,30.0322,2046.42,1,
cheetah,rotary,15,204.679,4.49843,165.89,0.999999,0.999965,37.9742,30.0599,2050.7,1,
cheetah,rotary,15,235.666,5.17947,165.725,0.999992,0.99958,38.0297,35.9884,2060.96,1,
cheetah,rotary,15,271.345,5.96362,161.952,0.999988,0.999103,42.4276,33.3649,2065.27,1,
cheetah,rotary,15,312.425,6.86649,156.739,1,0.995026,42.5265,32.2767,2071.06,1,
cheetah,rotary,15,359.725,7.90604,152.768,0.999998,0.985269,37.0778,30.2125,2073.89,1,
cheetah,rotary,15,414.186,9.10298,160.704,0.999986,0.995795,38.1604,33.6857,2080.39,1,
cheetah,rotary,15,476.892,10.4811,158.39,0.999999,0.96836,38.1532,33.3684,2072.11,1,
cheetah,rotary,15,549.091,12.0679,112.443,0.999997,0.797712,23.1801,7.04921,2014.71,1,
cheetah,rotary,15,632.22,13.895,151.487,0.999968,0.938136,37.6605,30.7137,2067.68,1,
cheetah,rotary,15,727.936,15.9986,113.39,0.961605,0.833851,38.2543,6.19017,2029.26,1,
cheetah,rotary,15,838.142,18.4207,128.865,0.994715,0.902483,42.2224,36.0897,1902.16,1,
cheetah,rotary,15,965.033,21.2095,127.504,0.99444,0.907813,43.0399,36.8467,1826.99,1,
cheetah,rotary,15,1111.13,24.4205,126.21,0.990939,0.897499,42.9086,36.7392,1820.04,1,
cheetah,rotary,15,1279.35,28.1177,132.506,0.999986,0.901461,46.1538,39.4022,1864.02,1,
cheetah,rotary,15,1473.04,32.3746,133.708,1,0.912871,47.0717,44.9656,1814.91,1,
cheetah,rotary,15,1696.06,37.2759,133.559,0.999819,0.919884,47.547,41.3574,1778.7,1,
cheetah,rotary,15,1952.83,42.9193,117.068,0.999888,0.821772,38.1718,24.7876,1745.99,1,
cheetah,rotary,15,2248.48,49.4171,133.585,0.999964,0.947463,44.8504,39.8671,1763.38,1,
cheetah,rotary,15,2588.89,56.8987,140.895,0.99993,0.989297,49.2303,42.681,1776.66,1,
cheetah,rotary,15,2980.83,65.5129,140.051,0.999998,0.987347,48.8338,42.5603,1777.94,1,
cheetah,rotary,15,3432.12,75.4312,138.547,0.999964,0.984853,48.3597,37.4213,1781.61,1,
cheetah,rotary,15,3951.73,86.8511,134.524,0.999994,0.945848,47.8162,35.754,1778.93,1,
cheetah,rotary,15,4550,100,139.588,0.999968,0.995343,48.1958,37.487,1786.76,1,
cheetah,transverse,8,4.55,0.1,112.76,0.999999,0.999425,56.4547,55.7205,920.192,1,
cheetah,transverse,8,5.2388,0.115138,112.948,0.999994,0.998408,56.4426,56.4426,920.343,1,
cheetah,transverse,8,6.032,0.132571,113.855,0.999997,0.999897,56.7625,56.3956,919.718,1,
cheetah,transverse,8,6.9452,0.152642,114.992,0.999994,0.999796,57.2139,56.7317,919.861,1,
cheetah,transverse,8,7.9967,0.175752,115.116,0.999975,0.999361,57.195,56.7127,919.797,1,
cheetah,transverse,8,9.2073,0.202358,115.496,0.999976,0.999414,57.1869,56.7047,919.839,1,
cheetah,transverse,8,10.6013,0.232996,115.64,0.999999,0.999974,57.1852,56.703,919.948,1,
cheetah,transverse,8,12.2063,0.26827,116.052,0.999994,0.999797,57.1575,56.6746,920.237,1,
cheetah,transverse,8,14.0542,0.308884,116.091,1,0.999984,57.1755,56.692,919.016,1,
cheetah,transverse,8,16.182,0.355648,116.204,0.999998,0.999919,56.762,56.762,915.393,1,
cheetah,transverse,8,18.6319,0.409492,116.078,0.999989,0.999384,56.83,56.83,913.187,1,
cheetah,transverse,8,21.4526,0.471486,115.662,0.999985,0.998885,56.9685,56.9685,908.315,1,
cheetah,transverse,8,24.7005,0.542868,115.837,0.999999,0.999958,57.0031,57.0031,906.609,1,
cheetah,transverse,8,28.44,0.625055,115.639,0.999995,0.999184,57.1783,57.1783,899.944,1,
cheetah,transverse,8,32.7457,0.719686,115.692,0.999992,0.999797,57.2578,57.2578,896.813,1,
cheetah,transverse,8,37.7032,0.828642,115.629,0.999994,0.999659,57.3171,57.3171,894.485,1,
cheetah,transverse,8,43.4113,0.954095,114.544,1,0.999981,57.6687,57.6687,888.092,1,
cheetah,transverse,8,49.9836,1.09854,114.322,0.999999,0.993771,57.6896,57.6896,887.238,1,
