species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
horse,545.18,transverse,8,11563,21.2095,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,19,122.222,0.343028,121.879,0.541596,4.33277,8,8,7,0.39279,0.148806,11.3733,-6.55664,17.9299,0.219089,0.20649,0.209939,0.213838,
horse,545.18,transverse,8,13313.6,24.4205,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,13,122.005,0.331931,121.673,0.539492,4.31594,8,8,7,0.391607,0.147885,10.3443,-5.83851,16.1828,0.217754,0.206512,0.210111,0.215177,
horse,545.18,transverse,8,15329.2,28.1177,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,19,121.73,0.328985,121.401,0.539715,4.31772,8,8,7,0.391934,0.147781,9.37827,-5.15117,14.5294,0.217164,0.206608,0.209727,0.215953,
horse,545.18,transverse,8,17650,32.3746,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,40,121.133,0.317196,120.816,0.539981,4.31985,8,8,7,0.39482,0.145161,8.38865,-4.62169,13.0103,0.211089,0.205957,0.210616,0.217799,
horse,545.18,transverse,8,20322.1,37.2759,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,24,120.842,0.308875,120.533,0.539073,4.31258,8,8,7,0.396294,0.142779,7.52656,-4.0727,11.5993,0.209753,0.20647,0.211601,0.218618,
horse,545.18,transverse,8,23398.8,42.9193,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,120.657,0.304144,120.353,0.538597,4.30878,8,8,7,0.395989,0.142608,6.76581,-3.57567,10.3415,0.209036,0.206593,0.211839,0.219155,
horse,545.18,transverse,8,26941.2,49.4171,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,25,120.486,0.298163,120.188,0.538915,4.31132,8,8,7,0.396443,0.142472,6.07473,-3.12771,9.20244,0.207761,0.20645,0.21288,0.219875,
horse,545.18,transverse,8,31020,56.8987,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,10,120.368,0.294641,120.073,0.538536,4.30829,8,8,7,0.395902,0.142634,5.46069,-2.74578,8.20647,0.207239,0.206324,0.212853,0.220241,
horse,545.18,transverse,8,35716.3,65.5129,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,16,120.246,0.288171,119.958,0.538208,4.30566,8,8,7,0.395518,0.14269,4.88379,-2.41246,7.29625,0.206477,0.206795,0.212845,0.220248,
horse,545.18,transverse,8,41123.6,75.4312,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,18,120.163,0.284435,119.879,0.537825,4.3026,8,8,7,0.394998,0.142827,4.3585,-2.12164,6.48014,0.205994,0.206839,0.212747,0.220421,
horse,545.18,transverse,8,47349.5,86.8511,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,14,120.105,0.28025,119.825,0.537364,4.29891,8,8,7,0.394406,0.142959,3.87475,-1.8555,5.73025,0.205405,0.206909,0.212801,0.220514,
horse,545.18,transverse,8,54518,100,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,20,120.049,0.275094,119.774,0.537962,4.3037,8,8,7,0.393987,0.143975,3.43444,-1.6315,5.06595,0.204057,0.206732,0.212801,0.220312,
horse,545.18,transverse,10,54.518,0.1,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,66,164.955,0.833992,164.121,0.514463,5.14463,10,8,7,0.272131,0.242332,45,-22.1259,67.1259,0.149986,0.151573,0.208124,0.176085,
horse,545.18,transverse,10,62.7718,0.11514,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,114,158.334,0.879428,157.455,0.493897,4.93897,10,8,7,0.277874,0.216022,45,-21.9925,66.9925,0.157122,0.166565,0.217702,0.183416,
horse,545.18,transverse,10,72.2751,0.132571,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,19,158.575,0.88409,157.691,0.493197,4.93197,10,8,7,0.278411,0.214787,44.9999,-21.8919,66.8918,0.158474,0.167185,0.217996,0.184528,
horse,545.18,transverse,10,83.2173,0.152642,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,16,158.983,0.883843,158.099,0.493077,4.93077,10,8,7,0.278486,0.214591,45,-21.8326,66.8326,0.158582,0.167298,0.218088,0.184572,
horse,545.18,transverse,10,95.816,0.175751,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,17,159.423,0.884535,158.538,0.492888,4.92888,10,8,7,0.278466,0.214422,44.9999,-21.7722,66.7721,0.15865,0.167421,0.21818,0.184698,
horse,545.18,transverse,10,110.322,0.202359,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,21,159.793,0.889862,158.903,0.492346,4.92346,10,8,7,0.278438,0.213908,44.9999,-21.7744,66.7744,0.159579,0.167472,0.218435,0.185237,
horse,545.18,transverse,10,127.024,0.232995,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,160.629,0.887715,159.741,0.492006,4.92006,10,8,7,0.278465,0.213541,44.9909,-21.5308,66.5217,0.159912,0.167661,0.218511,0.18513,
horse,545.18,transverse,10,146.255,0.26827,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,161.478,0.886344,160.591,0.491642,4.91642,10,8,7,0.278445,0.213197,44.9943,-21.2729,66.2672,0.160058,0.167878,0.218578,0.185126,
horse,545.18,transverse,10,168.398,0.308884,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,8,162.39,0.884989,161.505,0.491263,4.91263,10,8,7,0.278416,0.212847,44.9923,-20.9998,65.9921,0.160189,0.168112,0.218645,0.185139,
horse,545.18,transverse,10,193.892,0.355648,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,64,162.108,0.888792,161.219,0.491035,4.91035,10,8,7,0.279333,0.211702,45,-20.9376,65.9376,0.161882,0.168375,0.219816,0.18531,
horse,545.18,transverse,10,223.247,0.409492,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,9,163.263,0.884353,162.378,0.49076,4.9076,10,8,7,0.279447,0.211313,45,-20.5524,65.5524,0.162481,0.168571,0.219937,0.185311,
